Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
75E5	0	72	0	1	0	14	0
E1B9	0	103	1	0	0	-1	-1
9649	0	5	0	1	0	14	0
EE00	1	32	0	1	0	15	1
CD5F	0	119	0	1	0	0	0
5ED7	0	58	0	1	0	1	0
079F	1	217	0	1	0	2	1
B372	0	15	0	1	0	2	0
4D7A	0	172	1	0	0	-1	-1
5FAA	0	3	0	1	0	3	0
ACE5	0	81	1	0	0	-1	-1
1FF4	0	235	0	1	0	4	0
8DC1	0	133	1	0	0	-1	-1
3DCA	0	119	1	0	0	-1	-1
90D8	0	174	1	0	0	-1	-1
A49E	0	14	1	0	0	-1	-1
B8DD	0	254	1	0	0	-1	-1
8604	0	103	0	1	0	4	0
5C8C	0	59	0	1	0	5	0
C18A	1	29	1	0	0	-1	-1
39AD	1	94	0	1	0	6	1
2C5C	0	1	1	0	0	-1	-1
AC22	1	83	1	0	0	-1	-1
06A7	0	37	0	1	0	6	0
FBBB	0	256	0	1	0	7	0
1DB4	1	130	1	0	0	-1	-1
8F93	0	181	1	0	0	-1	-1
3099	0	194	0	1	0	7	0
5E7F	0	139	1	0	0	-1	-1
5559	0	178	0	1	0	8	0
A55F	0	0	1	0	0	-1	-1
6939	0	184	0	1	0	9	0
3C90	1	217	0	1	0	9	1
C5A6	1	97	0	1	0	10	1
6855	0	55	0	1	0	11	0
3501	0	119	0	1	0	12	0
76CD	0	82	1	0	0	-1	-1
582A	0	169	1	0	0	-1	-1
C5FB	0	242	0	0	1	-1	-1
0A81	0	235	1	0	0	-1	-1
E0EB	0	137	1	0	0	-1	-1
A04B	1	104	0	1	0	12	1
EC4D	0	151	0	1	0	12	0
8ED0	1	221	1	0	0	-1	-1
BC9A	1	207	0	1	0	13	1
A9C0	0	198	1	0	0	-1	-1
32B0	0	236	0	1	0	14	0
B31A	1	91	1	0	0	-1	-1
FE5A	0	47	1	0	0	-1	-1
57B1	0	129	0	1	0	14	0
F932	1	178	0	1	0	15	1
6E06	0	93	0	1	0	0	0
E378	0	141	1	0	0	-1	-1
B36C	0	117	0	0	1	-1	-1
5071	0	183	0	1	0	0	0
D5CD	0	47	0	1	0	1	0
A282	0	76	0	1	0	2	0
408E	0	123	1	0	0	-1	-1
FE48	0	225	1	0	0	-1	-1
D671	1	54	1	0	0	-1	-1
BC91	0	171	1	0	0	-1	-1
2888	1	174	1	0	0	-1	-1
0474	0	162	1	0	0	-1	-1
E2C2	0	68	0	1	0	2	0
51B7	1	205	0	1	0	3	1
C5D3	0	124	1	0	0	-1	-1
05A3	0	181	0	1	0	4	0
E3E6	0	183	1	0	0	-1	-1
E6C0	0	57	1	0	0	-1	-1
F388	0	227	1	0	0	-1	-1
751A	1	89	1	0	0	-1	-1
7B9D	0	75	0	1	0	4	0
93E2	1	162	0	1	0	4	1
F6DB	0	44	0	1	0	5	0
6F13	0	236	0	1	0	6	0
15BE	0	118	0	1	0	7	0
CBC7	0	79	1	0	0	-1	-1
B484	0	185	1	0	0	-1	-1
F249	0	34	0	1	0	7	0
8406	0	70	1	0	0	-1	-1
7E8D	1	52	0	1	0	8	1
E06A	0	70	1	0	0	-1	-1
6F7F	0	136	0	0	1	-1	-1
F9FA	1	164	1	0	0	-1	-1
84D7	0	216	0	0	1	-1	-1
33B4	0	207	1	0	0	-1	-1
166D	0	150	0	1	0	8	0
08F9	1	2	1	0	0	-1	-1
2D9F	0	246	0	1	0	8	0
A8E0	0	115	1	0	0	-1	-1
70E9	1	143	0	1	0	9	1
014F	0	187	0	1	0	10	0
D1C2	0	12	0	1	0	10	0
E1A2	0	113	1	0	0	-1	-1
2BB7	0	115	0	1	0	11	0
9E18	0	204	1	0	0	-1	-1
34C8	0	126	0	1	0	12	0
FA2A	0	202	1	0	0	-1	-1
417B	0	123	1	0	0	-1	-1
A7FC	0	109	1	0	0	-1	-1
4C7F	0	172	1	0	0	-1	-1
2FA4	0	243	1	0	0	-1	-1
36F2	0	36	1	0	0	-1	-1
2D92	0	99	1	0	0	-1	-1
4BA7	0	158	0	1	0	12	0
3398	1	153	1	0	0	-1	-1
A530	0	72	1	0	0	-1	-1
91DB	0	98	0	1	0	12	0
A93F	0	109	1	0	0	-1	-1
6E16	0	182	1	0	0	-1	-1
9B40	0	230	0	1	0	13	0
13A6	0	140	1	0	0	-1	-1
4C1D	0	161	1	0	0	-1	-1
D278	0	167	1	0	0	-1	-1
6BDC	1	90	0	1	0	13	1
ADA7	0	72	0	1	0	14	0
0FE2	0	63	0	1	0	15	0
50CB	0	21	1	0	0	-1	-1
110C	0	44	0	1	0	15	0
9BC1	0	148	1	0	0	-1	-1
6A23	0	139	1	0	0	-1	-1
2B95	0	183	1	0	0	-1	-1
1040	0	115	0	1	0	15	0
89D2	1	33	1	0	0	-1	-1
4067	0	125	1	0	0	-1	-1
759E	1	34	1	0	0	-1	-1
FE34	1	0	1	0	0	-1	-1
7F8B	0	233	1	0	0	-1	-1
5563	0	143	1	0	0	-1	-1
77C9	1	212	0	1	0	15	1
1B10	1	22	0	1	0	0	1
2B2F	1	30	1	0	0	-1	-1
3BEB	0	27	1	0	0	-1	-1
3267	1	232	1	0	0	-1	-1
5702	0	108	1	0	0	-1	-1
5CF5	0	34	1	0	0	-1	-1
ADA2	0	136	1	0	0	-1	-1
724E	0	159	0	1	0	0	0
E03B	0	209	1	0	0	-1	-1
CCD8	0	155	1	0	0	-1	-1
6811	0	99	1	0	0	-1	-1
D96D	1	241	1	0	0	-1	-1
9FEA	1	119	0	1	0	0	1
7340	1	190	1	0	0	-1	-1
30C3	0	236	1	0	0	-1	-1
AB43	0	73	0	1	0	1	0
5448	0	121	0	1	0	2	0
8847	0	162	0	1	0	2	0
AFCA	0	249	1	0	0	-1	-1
EA75	0	185	1	0	0	-1	-1
A25B	0	107	1	0	0	-1	-1
481E	1	187	1	0	0	-1	-1
045B	1	107	1	0	0	-1	-1
8DA4	0	252	1	0	0	-1	-1
A4F1	0	16	1	0	0	-1	-1
8393	0	84	0	1	0	2	0
7C23	0	193	1	0	0	-1	-1
01D6	0	36	1	0	0	-1	-1
99CD	0	254	1	0	0	-1	-1
C94F	0	5	1	0	0	-1	-1
9CE8	0	239	0	1	0	2	0
E3D0	0	58	1	0	0	-1	-1
81B7	0	195	0	1	0	2	0
DE19	0	164	1	0	0	-1	-1
8909	0	28	1	0	0	-1	-1
F633	0	149	1	0	0	-1	-1
7C3E	0	237	1	0	0	-1	-1
F031	0	89	1	0	0	-1	-1
F799	0	195	1	0	0	-1	-1
6018	0	172	0	1	0	2	0
99DF	0	237	1	0	0	-1	-1
C291	0	50	0	1	0	3	0
F0F9	0	3	0	0	1	-1	-1
7923	0	69	1	0	0	-1	-1
