Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
70B0	0	144	0	1	0	-1	-1
0400	0	161	0	1	0	-1	-1
A168	0	51	0	1	0	-1	-1
190E	0	140	0	1	0	-1	-1
241B	0	164	0	1	0	-1	-1
76AF	0	146	0	1	0	-1	-1
641C	0	202	0	1	0	-1	-1
7E33	0	218	0	1	0	-1	-1
1844	0	253	0	1	0	-1	-1
75D8	0	19	0	1	0	-1	-1
AE87	0	168	0	1	0	-1	-1
0474	0	11	1	0	0	-1	-1
05D5	0	178	0	1	0	-1	-1
6DE7	0	70	0	1	0	-1	-1
57C3	0	33	0	1	0	-1	-1
997A	0	13	0	1	0	-1	-1
E5B3	0	249	0	1	0	-1	-1
E4C5	0	85	0	1	0	0	0
BB0B	0	188	0	1	0	1	0
D96E	0	187	0	1	0	2	0
CCD2	0	255	0	1	0	2	0
CF1B	0	197	0	1	0	3	0
4CF4	0	177	0	1	0	4	0
B80A	0	65	0	1	0	5	0
99AD	0	186	1	0	0	-1	-1
608D	0	119	0	1	0	5	0
530C	0	90	0	1	0	6	0
365B	0	250	0	1	0	7	0
1272	0	59	0	1	0	8	0
9465	0	151	0	1	0	9	0
EAB8	0	82	0	1	0	9	0
8669	0	25	0	1	0	10	0
FA02	0	197	0	1	0	11	0
5328	0	102	0	0	1	-1	-1
5C7E	0	45	0	1	0	12	0
D175	0	206	0	1	0	12	0
27DF	0	16	0	1	0	13	0
257F	0	215	0	1	0	14	0
024F	0	130	0	1	0	15	0
EE7A	0	221	0	1	0	0	0
2417	0	178	1	0	0	-1	-1
4F39	0	4	0	1	0	0	0
5F36	0	252	0	1	0	1	0
A4A3	0	21	0	1	0	2	0
180C	0	44	1	0	0	-1	-1
7FA7	0	173	0	1	0	2	0
F85B	0	13	0	1	0	3	0
263E	0	145	0	1	0	4	0
8D81	0	198	0	1	0	5	0
F92E	0	217	0	1	0	6	0
8566	0	163	0	1	0	6	0
EE7B	0	87	1	0	0	-1	-1
60AC	0	78	1	0	0	-1	-1
923B	1	175	0	1	0	7	1
31EA	0	216	0	1	0	8	0
2BD9	0	140	0	1	0	8	0
604C	0	153	0	0	1	-1	-1
4B68	0	153	0	1	0	9	0
01E5	0	39	0	1	0	10	0
4953	0	166	0	1	0	11	0
54DF	0	155	0	1	0	11	0
5F66	1	4	1	0	0	-1	-1
53C6	0	151	1	0	0	-1	-1
701A	0	64	1	0	0	-1	-1
8C0F	0	151	0	1	0	12	0
B476	0	28	0	1	0	12	0
8DFA	1	201	1	0	0	-1	-1
7E9F	0	243	1	0	0	-1	-1
DBE1	0	61	0	1	0	13	0
93ED	0	226	0	1	0	14	0
7D79	0	252	0	1	0	14	0
3112	0	42	1	0	0	-1	-1
551C	0	103	0	1	0	15	0
7D88	0	99	0	0	1	-1	-1
E0C4	0	150	0	1	0	0	0
85C5	0	155	1	0	0	-1	-1
3F2D	0	7	0	1	0	0	0
FBDA	0	140	0	1	0	1	0
4B74	0	195	1	0	0	-1	-1
DA52	0	7	0	1	0	2	0
3FAE	0	51	0	0	1	-1	-1
819C	0	17	0	1	0	2	0
B449	0	43	1	0	0	-1	-1
06B9	0	111	0	1	0	3	0
756C	0	242	1	0	0	-1	-1
5A1F	0	74	0	1	0	3	0
60A9	0	211	1	0	0	-1	-1
9336	0	211	1	0	0	-1	-1
F97D	0	51	1	0	0	-1	-1
7534	0	207	0	0	1	-1	-1
CD99	0	221	0	1	0	3	0
5CD9	0	35	1	0	0	-1	-1
CA0D	0	140	0	1	0	4	0
411A	0	33	0	1	0	5	0
5669	0	118	0	1	0	6	0
ED75	0	65	0	1	0	6	0
C51A	0	145	0	1	0	7	0
734D	0	177	0	1	0	8	0
D7D6	0	41	0	1	0	9	0
3B9E	1	57	0	1	0	10	1
167D	0	190	0	1	0	10	0
A156	1	1	1	0	0	-1	-1
31C4	1	174	1	0	0	-1	-1
1402	0	159	0	1	0	11	0
5977	0	121	0	1	0	12	0
AF0F	1	99	0	1	0	12	1
B797	0	64	0	1	0	13	0
D3D1	0	230	0	1	0	14	0
8CC0	1	96	1	0	0	-1	-1
163A	0	100	1	0	0	-1	-1
342F	1	109	0	1	0	14	1
D28F	1	126	0	1	0	15	1
86B7	0	141	1	0	0	-1	-1
C90D	0	97	0	1	0	0	0
EBA2	0	81	0	1	0	1	0
C2B9	1	107	0	1	0	1	1
E750	1	192	0	1	0	2	1
D178	1	66	1	0	0	-1	-1
E79F	0	31	0	0	1	-1	-1
7BC3	0	183	0	1	0	3	0
DF5C	0	123	0	1	0	3	0
D23F	0	146	1	0	0	-1	-1
A899	0	7	0	1	0	4	0
AC96	0	106	0	1	0	5	0
B39D	0	182	0	1	0	6	0
041C	0	29	1	0	0	-1	-1
5C36	0	5	1	0	0	-1	-1
418E	1	7	1	0	0	-1	-1
271D	1	40	1	0	0	-1	-1
4A08	0	7	0	1	0	6	0
4C87	0	124	1	0	0	-1	-1
4993	0	164	1	0	0	-1	-1
AAC1	0	156	0	1	0	6	0
BEFE	0	145	0	1	0	7	0
B4AF	0	5	1	0	0	-1	-1
