Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
A952	0	212	0	1	0	-1	-1
4C3A	0	34	0	1	0	-1	-1
FACF	0	230	0	1	0	-1	-1
065F	0	51	0	1	0	-1	-1
3EFA	0	50	0	1	0	-1	-1
FFE0	0	80	0	1	0	-1	-1
BA88	0	65	0	1	0	-1	-1
8541	0	40	0	1	0	-1	-1
7B01	0	142	0	1	0	-1	-1
15F2	0	143	0	1	0	-1	-1
5E9A	0	76	0	1	0	-1	-1
9E6A	0	246	0	1	0	-1	-1
5A2B	0	152	0	1	0	-1	-1
B598	0	42	0	1	0	-1	-1
DC6B	0	17	0	1	0	-1	-1
5C33	0	145	0	1	0	-1	-1
A884	0	0	0	1	0	0	0
7474	0	220	0	1	0	1	0
1424	0	5	0	1	0	2	0
3788	0	121	0	1	0	3	0
1580	0	126	1	0	0	-1	-1
8CB2	0	230	0	1	0	3	0
18FA	0	26	0	1	0	4	0
BC2A	0	27	0	1	0	5	0
3314	0	158	0	1	0	6	0
4AAA	0	92	0	1	0	6	0
6831	0	188	0	1	0	7	0
BDC6	0	151	0	1	0	8	0
7CE6	0	101	0	1	0	9	0
9520	0	163	0	1	0	10	0
A1FA	0	56	0	1	0	10	0
BCAD	0	156	0	0	1	-1	-1
9183	0	67	0	1	0	11	0
36E6	0	20	0	1	0	12	0
69B1	0	151	0	1	0	13	0
A2B0	0	95	0	1	0	13	0
B1E1	0	116	0	1	0	14	0
D656	0	90	0	1	0	15	0
8F56	0	209	0	1	0	0	0
175B	0	178	0	1	0	1	0
58AB	0	16	0	1	0	1	0
794F	0	102	0	1	0	2	0
6874	0	18	1	0	0	-1	-1
A3FE	0	145	0	1	0	3	0
28B4	0	211	0	1	0	4	0
B463	0	164	0	1	0	4	0
B297	0	153	0	1	0	5	0
76F6	0	28	0	1	0	6	0
8CD9	0	209	1	0	0	-1	-1
F7EF	0	166	0	1	0	7	0
FCF4	0	207	0	1	0	7	0
6A4C	0	41	0	1	0	8	0
B71D	0	196	0	1	0	9	0
1593	0	60	1	0	0	-1	-1
F05F	0	167	0	1	0	10	0
438F	1	52	0	1	0	10	1
AEB3	0	132	0	1	0	11	0
8CF6	0	20	1	0	0	-1	-1
A158	0	205	1	0	0	-1	-1
4560	0	146	0	1	0	12	0
660D	0	178	0	1	0	12	0
52F0	1	8	0	1	0	13	1
7B8A	1	254	1	0	0	-1	-1
294A	0	28	0	1	0	14	0
4AD0	0	130	1	0	0	-1	-1
CF95	0	44	0	1	0	14	0
F060	0	250	1	0	0	-1	-1
8FD2	0	189	1	0	0	-1	-1
6863	1	27	1	0	0	-1	-1
5726	0	149	0	1	0	15	0
B123	0	37	1	0	0	-1	-1
89C7	1	109	0	1	0	15	1
5EB9	0	25	1	0	0	-1	-1
05F8	0	72	0	1	0	0	0
1C1D	0	147	0	1	0	1	0
9497	0	211	0	1	0	1	0
B052	1	244	0	1	0	2	1
33DF	0	181	1	0	0	-1	-1
E280	1	169	0	1	0	3	1
7BD2	0	103	1	0	0	-1	-1
C955	0	63	0	1	0	3	0
6BEB	0	102	0	1	0	4	0
0837	0	63	0	1	0	5	0
40DA	1	172	0	1	0	6	1
908A	1	155	0	1	0	7	1
5F0C	0	150	0	1	0	7	0
FBEC	1	104	0	1	0	8	1
2C39	0	120	0	1	0	9	0
388E	0	19	0	1	0	10	0
4DA7	0	177	0	1	0	11	0
4C97	0	80	1	0	0	-1	-1
4089	1	59	0	0	1	-1	-1
DCB6	0	106	1	0	0	-1	-1
C173	0	173	0	1	0	11	0
0132	0	81	0	1	0	12	0
ED20	0	181	0	1	0	12	0
B5FB	0	31	1	0	0	-1	-1
3BF1	0	4	0	1	0	13	0
90D7	0	69	1	0	0	-1	-1
CCFA	0	198	0	1	0	14	0
2DC0	0	77	0	1	0	14	0
5808	0	47	1	0	0	-1	-1
D218	0	140	0	1	0	15	0
E9E4	0	45	0	1	0	0	0
27BE	1	156	0	1	0	1	1
4883	0	214	0	1	0	1	0
7667	0	211	1	0	0	-1	-1
3B79	0	209	1	0	0	-1	-1
9094	1	22	1	0	0	-1	-1
D0DB	1	185	0	1	0	2	1
E69C	0	217	0	1	0	2	0
8572	1	15	1	0	0	-1	-1
009A	1	223	0	1	0	3	1
B11D	0	176	1	0	0	-1	-1
BBEF	1	118	0	1	0	4	1
DEE6	0	54	0	1	0	4	0
23EB	0	106	0	1	0	5	0
E548	0	251	0	1	0	6	0
A909	0	247	1	0	0	-1	-1
8674	0	103	0	1	0	7	0
ED24	0	205	1	0	0	-1	-1
D706	0	46	0	1	0	7	0
5D2F	0	87	0	1	0	8	0
82B3	0	128	0	1	0	9	0
615B	0	140	0	1	0	10	0
97D5	0	103	0	1	0	10	0
F6D9	0	120	0	1	0	11	0
5823	0	58	1	0	0	-1	-1
7500	0	161	0	1	0	12	0
E054	0	122	0	1	0	13	0
49FF	0	247	0	1	0	13	0
FA1A	1	27	1	0	0	-1	-1
4043	0	89	1	0	0	-1	-1
3678	0	122	1	0	0	-1	-1
CF02	0	180	1	0	0	-1	-1
8356	0	254	0	1	0	13	0
7177	0	139	0	1	0	14	0
EC8E	0	102	0	1	0	15	0
E873	0	54	0	1	0	0	0
DE05	0	14	1	0	0	-1	-1
1D22	0	235	0	1	0	0	0
B0B6	0	218	1	0	0	-1	-1
72C2	1	217	0	1	0	1	1
6B0F	0	34	1	0	0	-1	-1
