Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
1C85	0	140	0	1	0	-1	-1
5819	0	23	0	1	0	-1	-1
14E2	0	156	0	1	0	-1	-1
9301	0	125	0	1	0	-1	-1
C7D5	0	234	0	1	0	-1	-1
7612	0	57	0	1	0	-1	-1
F8D3	0	219	0	1	0	-1	-1
C8CF	0	93	0	1	0	-1	-1
BC6F	0	13	0	1	0	-1	-1
4291	0	156	0	1	0	-1	-1
09E0	0	201	0	1	0	-1	-1
022F	0	226	0	1	0	-1	-1
2E6E	0	149	0	1	0	-1	-1
A105	0	239	0	1	0	-1	-1
D479	0	38	0	1	0	-1	-1
D3C1	0	187	0	1	0	-1	-1
C99A	0	4	0	1	0	0	0
D88F	0	136	0	1	0	1	0
1311	0	235	0	1	0	2	0
982C	0	229	0	1	0	3	0
157A	0	32	0	1	0	3	0
55FC	0	221	0	1	0	4	0
6494	0	10	0	1	0	5	0
976B	0	49	0	1	0	6	0
8015	0	7	0	1	0	7	0
97DF	0	90	0	0	1	-1	-1
4710	0	235	0	1	0	7	0
69D0	0	33	0	1	0	8	0
0590	0	192	0	1	0	9	0
75A3	0	243	0	1	0	10	0
AAB0	0	117	0	1	0	10	0
5C0E	0	110	0	1	0	11	0
D8B9	0	3	1	0	0	-1	-1
B45D	0	43	0	1	0	12	0
F701	0	137	0	1	0	13	0
A3E4	0	166	0	1	0	13	0
1F84	0	152	0	1	0	14	0
9872	0	176	1	0	0	-1	-1
CA52	0	175	0	1	0	15	0
706D	0	34	0	1	0	0	0
6AF3	0	239	0	1	0	0	0
188D	0	205	0	1	0	1	0
3A0F	0	135	0	1	0	2	0
EA8B	0	96	0	1	0	3	0
3D3C	0	193	0	1	0	4	0
9C33	0	17	0	1	0	4	0
62E0	0	206	0	1	0	5	0
C093	0	64	0	1	0	6	0
1F7A	0	139	1	0	0	-1	-1
B590	0	212	0	1	0	7	0
F1BA	0	1	0	1	0	7	0
A1B5	1	31	1	0	0	-1	-1
7D6E	0	190	0	1	0	8	0
540F	1	230	0	1	0	9	1
AB3B	1	40	0	1	0	10	1
CBC7	0	250	0	1	0	10	0
9162	1	240	0	1	0	11	1
99C1	0	225	0	1	0	12	0
2691	0	21	0	1	0	13	0
7A9F	0	256	0	1	0	14	0
F41F	1	161	0	1	0	14	1
73B1	0	102	0	1	0	15	0
A8E2	0	45	0	1	0	0	0
8A89	0	248	0	1	0	1	0
8FB8	0	7	0	1	0	2	0
9D1F	0	97	0	1	0	2	0
24C2	0	239	0	1	0	3	0
75DA	0	50	1	0	0	-1	-1
1557	1	107	1	0	0	-1	-1
653F	1	7	0	1	0	4	1
A728	0	130	0	1	0	4	0
7C1C	0	23	0	1	0	5	0
B8A1	1	148	0	1	0	6	1
9951	0	104	1	0	0	-1	-1
06C8	0	90	0	1	0	7	0
D5E4	0	54	0	1	0	7	0
6A84	0	232	1	0	0	-1	-1
255F	0	196	0	1	0	8	0
C2D4	0	234	0	1	0	9	0
E58E	0	11	0	1	0	10	0
95A4	0	198	0	1	0	10	0
0C16	0	98	0	1	0	11	0
A495	0	25	0	1	0	12	0
9555	0	186	0	0	1	-1	-1
751A	0	53	1	0	0	-1	-1
3251	1	237	0	1	0	12	1
16E0	1	119	0	1	0	13	1
7A3E	0	22	1	0	0	-1	-1
0EFE	1	153	0	1	0	14	1
8C8A	0	163	0	1	0	15	0
5EFD	0	223	0	1	0	15	0
CB3D	0	10	1	0	0	-1	-1
69D9	1	84	1	0	0	-1	-1
485F	0	111	0	1	0	0	0
793F	0	64	0	1	0	1	0
6EF4	0	68	0	1	0	1	0
